userID	artistID	weight
4657	1	16
3286	1	13
9935	1	12
2424	1	5
2535	1	11
4582	1	12
4257	1	13
9928	1	19
5557	1	7
1106	1	15
7924	1	12
6574	1	9
6514	1	12
2674	1	16
6635	1	14
5333	1	14
9785	1	15
3045	1	5
5803	1	17
6925	1	11
1750	1	5
4733	1	9
4814	1	14
2654	1	1
6977	1	8
3664	1	16
5374	1	10
2169	1	15
5010	1	10
3677	1	10
4598	1	8
6313	1	13
4752	1	17
1525	1	5
2084	1	14
4456	1	8
6155	1	18
4483	1	9
8517	1	9
3340	1	8
9830	1	12
5304	1	16
7543	1	12
6930	1	7
9348	1	16
9085	1	29
2796	1	14
3504	1	13
7916	1	6
2040	1	6
8668	1	7
9669	1	17
1188	1	12
2876	1	19
5371	1	10
6573	1	7
8433	1	16
1053	1	16
5315	1	22
9201	1	9
2743	1	13
5889	1	6
4258	1	16
3504	1	7
9689	1	10
1009	1	14
2832	1	8
6947	1	9
6038	1	19
4923	1	6
2290	1	22
2403	1	16
9727	1	11
3060	1	3
3705	1	16
5342	1	16
4470	1	6
9835	1	11
6107	1	13
7537	1	5
8177	1	20
9479	1	12
2049	1	9
6539	1	13
4608	1	19
1117	1	13
4750	1	19
2104	1	15
2160	1	20
9423	1	7
4510	1	13
9834	1	20
8744	1	20
4981	1	21
2588	2	7
8062	2	3
1887	2	3
2612	2	10
2790	2	14
5073	2	9
3296	2	9
7912	2	12
2235	2	9
8260	2	11
2604	2	10
1828	2	1
1241	2	3
2528	2	1
3724	2	15
7658	2	2
7570	2	3
1960	2	7
7396	2	6
5345	2	7
5673	2	14
7930	2	2
8973	2	4
3536	2	1
1958	2	8
9883	2	10
1821	2	10
8811	2	8
3579	2	1
1931	2	6
4044	2	8
2122	2	6
4853	2	1
7615	2	2
5033	2	14
1651	2	13
9565	2	2
6183	2	3
6147	2	9
4910	2	5
5915	2	6
8491	2	9
2188	2	3
1152	2	14
2638	2	1
2200	2	11
3170	2	1
6718	2	5
7054	2	14
5669	2	1
5956	2	11
9666	2	14
5905	2	15
2697	2	7
2891	2	9
2753	2	5
5616	2	6
4450	2	3
5325	2	6
9280	2	3
1832	2	1
2512	2	7
1722	2	1
1058	2	1
5291	2	5
3647	2	9
8007	2	6
1158	2	1
3442	2	15
9938	2	14
3426	2	11
8041	2	7
1653	2	9
6862	2	9
2684	2	7
6794	2	10
7658	2	8
3532	2	1
3662	2	10
3900	2	5
6442	2	7
7745	2	6
5065	2	10
5371	2	1
7267	2	10
1634	2	13
8541	2	9
6728	2	4
4728	2	3
4652	2	15
6378	2	10
5564	2	7
5573	2	15
6753	2	1
9785	2	3
6425	2	2
5279	2	9
3925	2	5
1626	2	1
2776	2	1
6139	2	3
8149	2	4
7311	2	2
4114	2	3
1027	2	6
9518	2	14
4228	2	12
6967	2	3
6409	2	1
6143	2	11
5920	2	5
9308	2	4
7592	2	4
5844	2	11
7211	2	3
3851	2	5
9977	2	3
1006	2	3
6279	2	5
8618	2	10
9375	2	1
8752	2	9
3780	2	10
2389	2	1
6491	2	5
2530	2	14
6085	2	10
4680	2	1
1757	2	7
5011	2	4
2193	2	13
8461	2	6
4185	2	1
7291	2	10
1090	2	3
2746	2	6
9486	2	7
8611	2	3
2988	2	10
8478	2	7
6198	3	11
8251	3	1
9270	3	2
7991	3	3
3607	3	11
8777	3	3
5543	3	1
9540	3	11
8206	3	5
2269	3	9
6502	3	7
6238	3	5
3471	3	10
4788	3	7
4505	3	6
2052	3	10
8633	3	4
7812	3	11
7381	3	17
1320	3	12
7232	3	14
8814	3	2
7389	3	13
7865	3	8
4613	3	1
8999	3	6
1475	3	9
7371	3	14
7624	3	4
3704	3	15
9751	3	14
1441	3	1
1444	3	14
2375	3	5
8564	3	7
3977	3	6
4467	3	13
8449	3	10
7211	3	4
5558	3	16
5133	3	8
2341	3	1
1853	3	1
6733	3	10
1659	3	9
1508	3	10
1333	3	11
3496	3	7
2874	3	9
4571	3	14
7043	3	5
3749	3	9
2876	3	1
3683	3	1
1420	3	11
6111	3	8
7149	3	1
7498	3	3
4978	3	11
2669	3	7
2983	3	7
1672	3	4
7071	3	5
2129	3	13
7882	3	4
9031	3	8
8532	3	18
3506	3	16
5425	3	1
9817	3	11
5397	3	9
6280	3	3
2419	3	14
5569	3	1
8613	3	11
7209	3	6
6325	3	5
3979	3	13
5232	3	4
6576	3	9
5526	3	7
1166	3	15
4954	3	5
7658	3	8
8800	3	1
9041	3	9
5820	3	7
4630	3	9
7046	3	5
8753	3	10
6419	3	4
6764	3	7
5118	3	7
4777	3	4
2958	3	11
9779	3	11
4138	3	16
8933	4	4
9595	4	6
5636	4	13
5853	4	16
4727	4	6
9751	4	4
3073	4	10
5786	4	5
3068	4	20
2680	4	1
1200	4	1
8216	4	2
6582	4	4
8827	4	7
2869	4	8
2213	4	9
1878	4	2
5978	4	12
2395	4	14
7818	4	9
4697	4	7
8253	4	8
5871	4	2
6003	4	16
1986	4	1
4404	4	1
4457	4	2
4929	4	7
3847	4	9
7693	4	4
8381	4	6
1534	4	5
4792	4	2
8438	4	6
2166	4	11
4241	4	2
7965	4	1
3441	4	9
5352	4	9
3718	4	8
6039	4	5
5728	4	1
8195	4	2
7594	4	12
5460	4	12
2317	4	1
1653	4	7
5102	4	13
1423	4	2
1339	4	18
5415	4	14
3870	4	1
8708	4	3
5557	4	1
3973	4	6
9056	4	12
2494	4	7
6260	4	2
2713	4	8
9117	4	10
5722	4	3
1601	4	4
8451	4	2
2899	4	10
7622	4	9
1018	4	13
9889	4	1
9494	4	5
6927	4	7
8242	4	3
1845	4	3
5719	4	9
8178	4	13
1472	4	11
4920	4	3
1224	4	6
7684	4	3
2858	4	20
8560	4	15
3522	4	14
9165	4	4
5479	4	11
7807	4	5
4993	4	14
8483	4	1
9327	4	2
3236	4	5
7798	4	9
6568	4	4
1042	4	12
5634	4	4
9022	4	5
3434	4	1
6446	4	1
9903	4	9
4090	4	1
4912	4	15
7730	4	4
1715	4	5
7246	4	4
7325	4	12
3492	4	16
9115	4	6
6439	4	9
2644	4	6
9617	4	11
8486	4	3
3529	5	8
2225	5	3
6546	5	1
7512	5	11
9742	5	3
7226	5	1
8994	5	15
9864	5	6
5708	5	10
4727	5	9
2612	5	8
2646	5	3
1474	5	1
1753	5	11
6873	5	8
7141	5	10
7751	5	5
3950	5	10
7267	5	9
4945	5	10
4804	5	2
8555	5	8
1153	5	5
8622	5	4
3588	5	15
2210	5	4
5901	5	4
7951	5	10
5949	5	6
4263	5	3
2747	5	18
4886	5	8
5847	5	5
5837	5	12
7484	5	18
5497	5	10
1803	5	18
9138	5	9
4770	5	14
6772	5	1
5106	5	9
3240	5	12
1645	5	1
6061	5	1
6977	5	9
